country;population;life_expect;fertility;fertility_adol;mortal_5;mobile_phones;migration;electricity;gdp;inflation;pop_growth;surface_area;unemployment_rate
Afghanistan;38972230;62,58;4,75;84,3;57,8;58,19;166821;97,7;553,04;5,6;3,13;652860;11,71
Albania;2837849;76,99;1,4;14,67;9,4;91,35;-9117;100;4410,46;1,62;-0,57;28750;13,07
Algeria;43451666;74,45;2,94;12,06;22,9;104,84;-18797;99,8;3873,51;2,42;1,73;2381741;12,25
Angola;33428486;62,26;5,37;139,83;72,1;43,81;7557;46,89;2347,79;22,27;3,27;1246700;10,35
Argentina;45376763;75,89;1,91;39,87;7,7;121,6;2344;100;11341,27;42,02;0,97;2780400;11,46
Armenia;2805608;72,17;1,58;18,57;11,3;124,35;-12825;100;4256,13;1,21;-0,53;29740;12,18
Australia;25655289;83,2;1,58;8,08;3,7;106,94;117929;100;58117,45;0,85;1,24;7741220;6,46
Austria;8916864;81,19;1,44;5,36;3,6;120,32;20314;100;43455,7;1,38;0,42;83879;5,36
Azerbaijan;10093121;66,87;1,7;41,8;19,4;100,58;1084;100;5083,38;2,76;0,68;86600;7,16
Bahamas, The;406471;72,68;1,39;25,84;13,3;114,65;0;100;23566,58;0,04;0,47;13880;12,87
Bahrain;1477469;79,17;1,83;9,19;7;119,86;-48716;100;22510,4;-2,32;-1,13;785;1,67
Bangladesh;167420951;71,97;2;76,41;28,8;105,29;-61154;96,2;1593,35;5,69;1,14;147570;5,21
Belarus;9379952;74,23;1,38;11,9;2,9;121,49;13589;100;6247,43;5,55;-0,42;207610;4,05
Belgium;11538604;80,8;1,55;5,24;4,1;99,72;53428;100;40612,39;0,74;0,43;30530;5,55
Belize;394921;72,85;2;56,67;11,7;66,85;0;97,11;5040,12;0,12;1,49;22970;10,79
Benin;12643123;60,09;5,05;92,94;86;88,12;1732;41,41;1164,71;3,02;2,83;114760;1,67
Bhutan;772506;71,61;1,43;19,24;27,5;96,46;291;100;2878,44;5,63;0,66;38390;5,03
Bolivia;11936162;64,47;2,65;64,38;25,6;98,9;-4666;97,55;2920,2;0,94;1,34;1098580;7,9
Bosnia and Herzegovina;3318407;76,23;1,36;10,05;5,7;105,76;-26857;100;5373,17;-1,05;-1,27;51210;15,27
Botswana;2546402;65,65;2,84;50,08;36,3;150,39;1816;71,99;5810,95;1,89;1,85;581730;21,02
Brazil;213196304;74,01;1,65;46,3;14,7;96,55;56880;100;8204,2;3,21;0,67;8515770;13,93
Brunei Darussalam;441725;74,8;1,8;10,03;11,5;121,48;-395;100;30402,09;1,94;0,84;5770;7,41
