country,population,life_expect,fertility,fertility_adol,mortal_5,mobile_phones,migration,electricity,gdp,inflation,pop_growth,surface_area,unemployment_rate
Afghanistan,38972230.0,62.58,4.75,84.3,57.8,58.19,166821.0,97.7,553.04,5.6,3.13,652860.0,11.71
Albania,2837849.0,76.99,1.4,14.67,9.4,91.35,-9117.0,100.0,4410.46,1.62,-0.57,28750.0,13.07
Algeria,43451666.0,74.45,2.94,12.06,22.9,104.84,-18797.0,99.8,3873.51,2.42,1.73,2381741.0,12.25
Angola,33428486.0,62.26,5.37,139.83,72.1,43.81,7557.0,46.89,2347.79,22.27,3.27,1246700.0,10.35
Argentina,45376763.0,75.89,1.91,39.87,7.7,121.6,2344.0,100.0,11341.27,42.02,0.97,2780400.0,11.46
Armenia,2805608.0,72.17,1.58,18.57,11.3,124.35,-12825.0,100.0,4256.13,1.21,-0.53,29740.0,12.18
Australia,25655289.0,83.2,1.58,8.08,3.7,106.94,117929.0,100.0,58117.45,0.85,1.24,7741220.0,6.46
Austria,8916864.0,81.19,1.44,5.36,3.6,120.32,20314.0,100.0,43455.7,1.38,0.42,83879.0,5.36
Azerbaijan,10093121.0,66.87,1.7,41.8,19.4,100.58,1084.0,100.0,5083.38,2.76,0.68,86600.0,7.16
"Bahamas, The",406471.0,72.68,1.39,25.84,13.3,114.65,0.0,100.0,23566.58,0.04,0.47,13880.0,12.87
Bahrain,1477469.0,79.17,1.83,9.19,7.0,119.86,-48716.0,100.0,22510.4,-2.32,-1.13,785.0,1.67
Bangladesh,167420951.0,71.97,2.0,76.41,28.8,105.29,-61154.0,96.2,1593.35,5.69,1.14,147570.0,5.21
Belarus,9379952.0,74.23,1.38,11.9,2.9,121.49,13589.0,100.0,6247.43,5.55,-0.42,207610.0,4.05
Belgium,11538604.0,80.8,1.55,5.24,4.1,99.72,53428.0,100.0,40612.39,0.74,0.43,30530.0,5.55
Belize,394921.0,72.85,2.0,56.67,11.7,66.85,0.0,97.11,5040.12,0.12,1.49,22970.0,10.79
Benin,12643123.0,60.09,5.05,92.94,86.0,88.12,1732.0,41.41,1164.71,3.02,2.83,114760.0,1.67
